question,answer
How do I insert a new document with random data into the 'security' index?,"POST /security/_doc
{
  ""status_code"": ""Unauthorized access"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I retrieve document ID 462 from the 'metrics' index?,GET /metrics/_doc/462
How do I insert a new document with random data into the 'logs' index?,"POST /logs/_doc
{
  ""username"": ""System rebooted"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I update or create a document with ID 200 in the 'logs' index?,"PUT /logs/_doc/200
{
  ""user_id"": ""Unauthorized access"",
  ""updated"": true
}"
How do I update or create a document with ID 352 in the 'security' index?,"PUT /security/_doc/352
{
  ""status_code"": ""User logged in"",
  ""updated"": true
}"
How do I insert a new document with random data into the 'security' index?,"POST /security/_doc
{
  ""timestamp"": ""System rebooted"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I insert a new document with random data into the 'audit' index?,"POST /audit/_doc
{
  ""username"": ""User logged in"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I insert a new document with random data into the 'logs' index?,"POST /logs/_doc
{
  ""event_type"": ""Login failed"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I insert a new document with random data into the 'metrics' index?,"POST /metrics/_doc
{
  ""event_type"": ""System rebooted"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I update or create a document with ID 232 in the 'app' index?,"PUT /app/_doc/232
{
  ""message"": ""User logged in"",
  ""updated"": true
}"
How do I search for documents in 'audit' where 'username' contains 'Unauthorized access'?,"GET /audit/_search
{
  ""query"": {
    ""match_phrase"": {
      ""username"": ""Unauthorized access""
    }
  }
}"
How do I retrieve document ID 206 from the 'app' index?,GET /app/_doc/206
How do I insert a new document with random data into the 'app' index?,"POST /app/_doc
{
  ""event_type"": ""System rebooted"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I update or create a document with ID 435 in the 'security' index?,"PUT /security/_doc/435
{
  ""message"": ""Login failed"",
  ""updated"": true
}"
How do I update or create a document with ID 30 in the 'metrics' index?,"PUT /metrics/_doc/30
{
  ""status_code"": ""Unauthorized access"",
  ""updated"": true
}"
How do I delete a specific document with ID 165 from the 'logs' index?,DELETE /logs/_doc/165
How do I delete the entire 'users' index?,DELETE /users
How do I search for documents in 'events' where 'username' contains 'System rebooted'?,"GET /events/_search
{
  ""query"": {
    ""match_phrase"": {
      ""username"": ""System rebooted""
    }
  }
}"
How do I insert a new document with random data into the 'users' index?,"POST /users/_doc
{
  ""user_id"": ""System rebooted"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I delete a specific document with ID 82 from the 'logs' index?,DELETE /logs/_doc/82
How do I update or create a document with ID 446 in the 'users' index?,"PUT /users/_doc/446
{
  ""user_id"": ""Login failed"",
  ""updated"": true
}"
How do I insert a new document with random data into the 'logs' index?,"POST /logs/_doc
{
  ""status_code"": ""System rebooted"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I insert a new document with random data into the 'logs' index?,"POST /logs/_doc
{
  ""event_type"": ""Login failed"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I insert a new document with random data into the 'metrics' index?,"POST /metrics/_doc
{
  ""status_code"": ""Login failed"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I insert a new document with random data into the 'app' index?,"POST /app/_doc
{
  ""event_type"": ""File uploaded"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I search for documents in 'audit' where 'username' contains 'User logged in'?,"GET /audit/_search
{
  ""query"": {
    ""match_phrase"": {
      ""username"": ""User logged in""
    }
  }
}"
How do I delete the entire 'metrics' index?,DELETE /metrics
How do I delete a specific document with ID 462 from the 'users' index?,DELETE /users/_doc/462
How do I insert a new document with random data into the 'metrics' index?,"POST /metrics/_doc
{
  ""timestamp"": ""Login failed"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I update or create a document with ID 273 in the 'security' index?,"PUT /security/_doc/273
{
  ""timestamp"": ""Unauthorized access"",
  ""updated"": true
}"
How do I delete a specific document with ID 423 from the 'security' index?,DELETE /security/_doc/423
How do I delete the entire 'audit' index?,DELETE /audit
How do I update or create a document with ID 285 in the 'logs' index?,"PUT /logs/_doc/285
{
  ""user_id"": ""User logged in"",
  ""updated"": true
}"
How do I update or create a document with ID 64 in the 'app' index?,"PUT /app/_doc/64
{
  ""message"": ""Login failed"",
  ""updated"": true
}"
How do I delete a specific document with ID 455 from the 'logs' index?,DELETE /logs/_doc/455
How do I insert a new document with random data into the 'logs' index?,"POST /logs/_doc
{
  ""user_id"": ""Login failed"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I delete the entire 'events' index?,DELETE /events
How do I delete the entire 'audit' index?,DELETE /audit
How do I delete the entire 'logs' index?,DELETE /logs
How do I retrieve document ID 246 from the 'audit' index?,GET /audit/_doc/246
How do I delete a specific document with ID 336 from the 'audit' index?,DELETE /audit/_doc/336
How do I delete the entire 'security' index?,DELETE /security
How do I update or create a document with ID 209 in the 'audit' index?,"PUT /audit/_doc/209
{
  ""user_id"": ""Unauthorized access"",
  ""updated"": true
}"
How do I insert a new document with random data into the 'users' index?,"POST /users/_doc
{
  ""event_type"": ""User logged in"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I delete a specific document with ID 56 from the 'app' index?,DELETE /app/_doc/56
How do I insert a new document with random data into the 'users' index?,"POST /users/_doc
{
  ""timestamp"": ""Login failed"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I insert a new document with random data into the 'security' index?,"POST /security/_doc
{
  ""user_id"": ""User logged in"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I search for documents in 'metrics' where 'event_type' contains 'Login failed'?,"GET /metrics/_search
{
  ""query"": {
    ""match_phrase"": {
      ""event_type"": ""Login failed""
    }
  }
}"
How do I update or create a document with ID 127 in the 'app' index?,"PUT /app/_doc/127
{
  ""ip_address"": ""User logged in"",
  ""updated"": true
}"
How do I update or create a document with ID 436 in the 'security' index?,"PUT /security/_doc/436
{
  ""message"": ""Unauthorized access"",
  ""updated"": true
}"
How do I insert a new document with random data into the 'app' index?,"POST /app/_doc
{
  ""user_id"": ""User logged in"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I insert a new document with random data into the 'security' index?,"POST /security/_doc
{
  ""ip_address"": ""Login failed"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I delete the entire 'logs' index?,DELETE /logs
How do I search for documents in 'events' where 'ip_address' contains 'Login failed'?,"GET /events/_search
{
  ""query"": {
    ""match_phrase"": {
      ""ip_address"": ""Login failed""
    }
  }
}"
How do I search for documents in 'app' where 'message' contains 'User logged in'?,"GET /app/_search
{
  ""query"": {
    ""match_phrase"": {
      ""message"": ""User logged in""
    }
  }
}"
How do I update or create a document with ID 434 in the 'audit' index?,"PUT /audit/_doc/434
{
  ""message"": ""System rebooted"",
  ""updated"": true
}"
How do I retrieve document ID 467 from the 'logs' index?,GET /logs/_doc/467
How do I delete the entire 'audit' index?,DELETE /audit
How do I insert a new document with random data into the 'app' index?,"POST /app/_doc
{
  ""timestamp"": ""Login failed"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I update or create a document with ID 128 in the 'app' index?,"PUT /app/_doc/128
{
  ""username"": ""System rebooted"",
  ""updated"": true
}"
How do I insert a new document with random data into the 'security' index?,"POST /security/_doc
{
  ""user_id"": ""File uploaded"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I retrieve document ID 207 from the 'app' index?,GET /app/_doc/207
How do I update or create a document with ID 304 in the 'metrics' index?,"PUT /metrics/_doc/304
{
  ""event_type"": ""System rebooted"",
  ""updated"": true
}"
How do I insert a new document with random data into the 'logs' index?,"POST /logs/_doc
{
  ""status_code"": ""Login failed"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I insert a new document with random data into the 'audit' index?,"POST /audit/_doc
{
  ""timestamp"": ""User logged in"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I insert a new document with random data into the 'app' index?,"POST /app/_doc
{
  ""event_type"": ""File uploaded"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I retrieve document ID 293 from the 'app' index?,GET /app/_doc/293
How do I delete a specific document with ID 103 from the 'logs' index?,DELETE /logs/_doc/103
How do I search for documents in 'security' where 'ip_address' contains 'System rebooted'?,"GET /security/_search
{
  ""query"": {
    ""match_phrase"": {
      ""ip_address"": ""System rebooted""
    }
  }
}"
How do I insert a new document with random data into the 'metrics' index?,"POST /metrics/_doc
{
  ""user_id"": ""Login failed"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I delete a specific document with ID 3 from the 'audit' index?,DELETE /audit/_doc/3
How do I insert a new document with random data into the 'users' index?,"POST /users/_doc
{
  ""timestamp"": ""Login failed"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I update or create a document with ID 140 in the 'app' index?,"PUT /app/_doc/140
{
  ""status_code"": ""System rebooted"",
  ""updated"": true
}"
How do I retrieve document ID 25 from the 'audit' index?,GET /audit/_doc/25
How do I update or create a document with ID 99 in the 'logs' index?,"PUT /logs/_doc/99
{
  ""message"": ""File uploaded"",
  ""updated"": true
}"
How do I insert a new document with random data into the 'metrics' index?,"POST /metrics/_doc
{
  ""ip_address"": ""System rebooted"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I delete the entire 'security' index?,DELETE /security
How do I update or create a document with ID 224 in the 'metrics' index?,"PUT /metrics/_doc/224
{
  ""event_type"": ""Login failed"",
  ""updated"": true
}"
How do I update or create a document with ID 435 in the 'events' index?,"PUT /events/_doc/435
{
  ""event_type"": ""User logged in"",
  ""updated"": true
}"
How do I delete the entire 'logs' index?,DELETE /logs
How do I update or create a document with ID 91 in the 'app' index?,"PUT /app/_doc/91
{
  ""user_id"": ""User logged in"",
  ""updated"": true
}"
How do I delete the entire 'audit' index?,DELETE /audit
How do I update or create a document with ID 69 in the 'app' index?,"PUT /app/_doc/69
{
  ""user_id"": ""Unauthorized access"",
  ""updated"": true
}"
How do I retrieve document ID 435 from the 'app' index?,GET /app/_doc/435
How do I update or create a document with ID 194 in the 'events' index?,"PUT /events/_doc/194
{
  ""status_code"": ""System rebooted"",
  ""updated"": true
}"
How do I insert a new document with random data into the 'app' index?,"POST /app/_doc
{
  ""event_type"": ""File uploaded"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I update or create a document with ID 394 in the 'events' index?,"PUT /events/_doc/394
{
  ""ip_address"": ""Unauthorized access"",
  ""updated"": true
}"
How do I delete a specific document with ID 53 from the 'audit' index?,DELETE /audit/_doc/53
How do I insert a new document with random data into the 'events' index?,"POST /events/_doc
{
  ""event_type"": ""System rebooted"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I delete a specific document with ID 437 from the 'security' index?,DELETE /security/_doc/437
How do I retrieve document ID 282 from the 'app' index?,GET /app/_doc/282
How do I delete a specific document with ID 478 from the 'audit' index?,DELETE /audit/_doc/478
How do I search for documents in 'audit' where 'status_code' contains 'Login failed'?,"GET /audit/_search
{
  ""query"": {
    ""match_phrase"": {
      ""status_code"": ""Login failed""
    }
  }
}"
How do I delete a specific document with ID 247 from the 'security' index?,DELETE /security/_doc/247
How do I search for documents in 'events' where 'status_code' contains 'User logged in'?,"GET /events/_search
{
  ""query"": {
    ""match_phrase"": {
      ""status_code"": ""User logged in""
    }
  }
}"
How do I update or create a document with ID 441 in the 'users' index?,"PUT /users/_doc/441
{
  ""user_id"": ""Unauthorized access"",
  ""updated"": true
}"
How do I insert a new document with random data into the 'users' index?,"POST /users/_doc
{
  ""username"": ""System rebooted"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I search for documents in 'security' where 'username' contains 'Unauthorized access'?,"GET /security/_search
{
  ""query"": {
    ""match_phrase"": {
      ""username"": ""Unauthorized access""
    }
  }
}"
How do I insert a new document with random data into the 'users' index?,"POST /users/_doc
{
  ""message"": ""System rebooted"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I update or create a document with ID 480 in the 'logs' index?,"PUT /logs/_doc/480
{
  ""status_code"": ""System rebooted"",
  ""updated"": true
}"
How do I delete the entire 'security' index?,DELETE /security
How do I retrieve document ID 477 from the 'logs' index?,GET /logs/_doc/477
How do I retrieve document ID 125 from the 'users' index?,GET /users/_doc/125
How do I search for documents in 'security' where 'ip_address' contains 'Login failed'?,"GET /security/_search
{
  ""query"": {
    ""match_phrase"": {
      ""ip_address"": ""Login failed""
    }
  }
}"
How do I search for documents in 'events' where 'user_id' contains 'System rebooted'?,"GET /events/_search
{
  ""query"": {
    ""match_phrase"": {
      ""user_id"": ""System rebooted""
    }
  }
}"
How do I retrieve document ID 31 from the 'logs' index?,GET /logs/_doc/31
How do I insert a new document with random data into the 'metrics' index?,"POST /metrics/_doc
{
  ""event_type"": ""File uploaded"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I search for documents in 'metrics' where 'username' contains 'System rebooted'?,"GET /metrics/_search
{
  ""query"": {
    ""match_phrase"": {
      ""username"": ""System rebooted""
    }
  }
}"
How do I insert a new document with random data into the 'app' index?,"POST /app/_doc
{
  ""username"": ""User logged in"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I update or create a document with ID 253 in the 'events' index?,"PUT /events/_doc/253
{
  ""timestamp"": ""System rebooted"",
  ""updated"": true
}"
How do I retrieve document ID 302 from the 'logs' index?,GET /logs/_doc/302
How do I search for documents in 'logs' where 'message' contains 'User logged in'?,"GET /logs/_search
{
  ""query"": {
    ""match_phrase"": {
      ""message"": ""User logged in""
    }
  }
}"
How do I delete the entire 'audit' index?,DELETE /audit
How do I delete the entire 'logs' index?,DELETE /logs
How do I update or create a document with ID 461 in the 'security' index?,"PUT /security/_doc/461
{
  ""message"": ""Unauthorized access"",
  ""updated"": true
}"
How do I delete a specific document with ID 200 from the 'audit' index?,DELETE /audit/_doc/200
How do I insert a new document with random data into the 'users' index?,"POST /users/_doc
{
  ""user_id"": ""System rebooted"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I update or create a document with ID 236 in the 'users' index?,"PUT /users/_doc/236
{
  ""status_code"": ""Login failed"",
  ""updated"": true
}"
How do I update or create a document with ID 453 in the 'metrics' index?,"PUT /metrics/_doc/453
{
  ""event_type"": ""System rebooted"",
  ""updated"": true
}"
How do I retrieve document ID 478 from the 'events' index?,GET /events/_doc/478
How do I update or create a document with ID 455 in the 'app' index?,"PUT /app/_doc/455
{
  ""ip_address"": ""User logged in"",
  ""updated"": true
}"
How do I delete the entire 'events' index?,DELETE /events
How do I update or create a document with ID 240 in the 'app' index?,"PUT /app/_doc/240
{
  ""username"": ""File uploaded"",
  ""updated"": true
}"
How do I search for documents in 'security' where 'event_type' contains 'System rebooted'?,"GET /security/_search
{
  ""query"": {
    ""match_phrase"": {
      ""event_type"": ""System rebooted""
    }
  }
}"
How do I insert a new document with random data into the 'metrics' index?,"POST /metrics/_doc
{
  ""user_id"": ""User logged in"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I delete a specific document with ID 235 from the 'logs' index?,DELETE /logs/_doc/235
How do I insert a new document with random data into the 'events' index?,"POST /events/_doc
{
  ""event_type"": ""System rebooted"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I delete the entire 'security' index?,DELETE /security
How do I search for documents in 'metrics' where 'user_id' contains 'File uploaded'?,"GET /metrics/_search
{
  ""query"": {
    ""match_phrase"": {
      ""user_id"": ""File uploaded""
    }
  }
}"
How do I search for documents in 'security' where 'event_type' contains 'Unauthorized access'?,"GET /security/_search
{
  ""query"": {
    ""match_phrase"": {
      ""event_type"": ""Unauthorized access""
    }
  }
}"
How do I delete a specific document with ID 467 from the 'users' index?,DELETE /users/_doc/467
How do I retrieve document ID 431 from the 'metrics' index?,GET /metrics/_doc/431
How do I delete a specific document with ID 410 from the 'logs' index?,DELETE /logs/_doc/410
How do I search for documents in 'logs' where 'message' contains 'File uploaded'?,"GET /logs/_search
{
  ""query"": {
    ""match_phrase"": {
      ""message"": ""File uploaded""
    }
  }
}"
How do I update or create a document with ID 421 in the 'audit' index?,"PUT /audit/_doc/421
{
  ""timestamp"": ""Login failed"",
  ""updated"": true
}"
How do I delete a specific document with ID 351 from the 'app' index?,DELETE /app/_doc/351
How do I insert a new document with random data into the 'audit' index?,"POST /audit/_doc
{
  ""timestamp"": ""System rebooted"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I update or create a document with ID 362 in the 'audit' index?,"PUT /audit/_doc/362
{
  ""status_code"": ""System rebooted"",
  ""updated"": true
}"
How do I retrieve document ID 419 from the 'logs' index?,GET /logs/_doc/419
How do I update or create a document with ID 201 in the 'events' index?,"PUT /events/_doc/201
{
  ""timestamp"": ""Login failed"",
  ""updated"": true
}"
How do I search for documents in 'app' where 'username' contains 'System rebooted'?,"GET /app/_search
{
  ""query"": {
    ""match_phrase"": {
      ""username"": ""System rebooted""
    }
  }
}"
How do I update or create a document with ID 251 in the 'metrics' index?,"PUT /metrics/_doc/251
{
  ""timestamp"": ""File uploaded"",
  ""updated"": true
}"
How do I delete the entire 'events' index?,DELETE /events
How do I delete the entire 'users' index?,DELETE /users
How do I delete a specific document with ID 84 from the 'users' index?,DELETE /users/_doc/84
How do I search for documents in 'users' where 'status_code' contains 'Login failed'?,"GET /users/_search
{
  ""query"": {
    ""match_phrase"": {
      ""status_code"": ""Login failed""
    }
  }
}"
How do I delete the entire 'audit' index?,DELETE /audit
How do I delete the entire 'users' index?,DELETE /users
How do I delete a specific document with ID 319 from the 'metrics' index?,DELETE /metrics/_doc/319
How do I update or create a document with ID 448 in the 'app' index?,"PUT /app/_doc/448
{
  ""user_id"": ""System rebooted"",
  ""updated"": true
}"
How do I update or create a document with ID 62 in the 'app' index?,"PUT /app/_doc/62
{
  ""user_id"": ""File uploaded"",
  ""updated"": true
}"
How do I update or create a document with ID 247 in the 'app' index?,"PUT /app/_doc/247
{
  ""status_code"": ""File uploaded"",
  ""updated"": true
}"
How do I delete the entire 'audit' index?,DELETE /audit
How do I insert a new document with random data into the 'users' index?,"POST /users/_doc
{
  ""event_type"": ""User logged in"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I update or create a document with ID 6 in the 'app' index?,"PUT /app/_doc/6
{
  ""user_id"": ""File uploaded"",
  ""updated"": true
}"
How do I delete a specific document with ID 213 from the 'events' index?,DELETE /events/_doc/213
How do I update or create a document with ID 13 in the 'audit' index?,"PUT /audit/_doc/13
{
  ""username"": ""File uploaded"",
  ""updated"": true
}"
How do I update or create a document with ID 113 in the 'users' index?,"PUT /users/_doc/113
{
  ""timestamp"": ""System rebooted"",
  ""updated"": true
}"
How do I update or create a document with ID 28 in the 'users' index?,"PUT /users/_doc/28
{
  ""timestamp"": ""Unauthorized access"",
  ""updated"": true
}"
How do I delete the entire 'audit' index?,DELETE /audit
How do I delete the entire 'security' index?,DELETE /security
How do I update or create a document with ID 54 in the 'audit' index?,"PUT /audit/_doc/54
{
  ""user_id"": ""System rebooted"",
  ""updated"": true
}"
How do I update or create a document with ID 5 in the 'audit' index?,"PUT /audit/_doc/5
{
  ""event_type"": ""System rebooted"",
  ""updated"": true
}"
How do I insert a new document with random data into the 'security' index?,"POST /security/_doc
{
  ""status_code"": ""User logged in"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I delete the entire 'security' index?,DELETE /security
